date,open,high,low,close,adjusted_close,volume,ticker
2024-01-17,234.41,234.87,233.43,234.59,229.9755,3336627,VTI.US
2024-01-18,235.64,236.955,234.62,236.66,232.0048,3509912,VTI.US
2024-01-19,237.38,239.735,236.76,239.54,234.8281,3850769,VTI.US
2024-01-22,240.54,241.4,240.05,240.58,235.8477,3952716,VTI.US
2024-01-23,241.02,241.17,240.06,241.02,236.279,3015293,VTI.US
2024-01-24,242.66,242.87,240.85,240.98,236.2398,3002976,VTI.US
2024-01-25,242.19,242.5586,241.07,242.32,237.5534,2993885,VTI.US
2024-01-26,242.31,243.02,241.73,242.12,237.3574,2858242,VTI.US
2024-01-29,242.34,244.34,242.125,244.32,239.5141,3463378,VTI.US
2024-01-30,244.07,244.33,243.57,243.98,239.1808,3098878,VTI.US
2024-01-31,242.84,243.24,239.856,239.87,235.1516,3884488,VTI.US
2024-02-01,240.9,243.1,240.04,243.1,238.3181,3986825,VTI.US
2024-02-02,242.96,246.01,242.6922,245.18,240.3572,3876617,VTI.US
2024-02-05,244.83,244.99,242.74,244.02,239.22,3324777,VTI.US
2024-02-06,244.48,245.02,243.9,244.85,240.0337,2568422,VTI.US
2024-02-07,246.0,247.09,245.385,246.78,241.9257,2305718,VTI.US
2024-02-08,246.81,247.47,246.51,247.39,242.5237,2668150,VTI.US
2024-02-09,247.75,249.15,247.51,248.9,244.004,2367717,VTI.US
2024-02-12,249.04,250.3359,248.72,249.14,244.2393,2769737,VTI.US
2024-02-13,245.61,246.32,243.35,245.15,240.3278,5832619,VTI.US
2024-02-14,246.87,248.03,245.61,247.86,242.9845,2606859,VTI.US
2024-02-15,248.34,249.9398,248.02,249.77,244.8569,3181946,VTI.US
2024-02-16,249.61,250.225,248.1,248.46,243.5727,2909166,VTI.US
2024-02-20,247.55,247.7508,245.76,246.9,242.0433,3445129,VTI.US
2024-02-21,246.05,246.99,245.13,246.95,242.0924,2174914,VTI.US
2024-02-22,249.96,252.21,249.61,251.83,246.8764,3872960,VTI.US
2024-02-23,252.46,252.92,251.53,252.0,247.043,2855952,VTI.US
2024-02-26,252.02,252.44,251.202,251.24,246.298,2585834,VTI.US
2024-02-27,251.79,252.1,250.945,251.94,246.9842,2024611,VTI.US
2024-02-28,251.1,251.9612,250.97,251.52,246.5725,2192249,VTI.US
2024-02-29,252.68,253.3,251.12,252.58,247.6116,2610405,VTI.US
2024-03-01,253.04,255.065,252.6847,254.9,249.886,3693844,VTI.US
2024-03-04,254.78,255.5818,254.532,254.65,249.6409,4966760,VTI.US
2024-03-05,253.68,253.8599,250.91,251.95,246.994,3134811,VTI.US
2024-03-06,253.87,254.51,252.68,253.44,248.4547,2501680,VTI.US
2024-03-07,255.0,256.37,254.65,255.91,250.8761,2940907,VTI.US
2024-03-08,256.42,257.71,254.0401,254.43,249.4252,3673475,VTI.US
2024-03-11,253.89,254.35,252.703,254.02,249.0233,3038679,VTI.US
2024-03-12,254.99,256.74,253.65,256.53,251.4839,4380105,VTI.US
2024-03-13,256.57,256.87,255.47,256.21,251.1702,2667352,VTI.US
2024-03-14,256.69,256.87,253.72,255.22,250.1997,3664126,VTI.US
2024-03-15,253.6,254.6482,252.7,253.71,248.7194,3216805,VTI.US
2024-03-18,255.58,256.21,254.81,255.0,249.984,3455369,VTI.US
2024-03-19,254.43,256.55,254.1716,256.47,251.4251,2900211,VTI.US
2024-03-20,256.46,259.2,256.19,259.07,253.974,2480790,VTI.US
2024-03-21,260.65,261.07,260.04,260.14,255.0229,3723188,VTI.US
2024-03-22,259.19,259.45,258.34,258.5,254.3057,2465312,VTI.US
2024-03-25,258.1,258.49,257.79,257.92,253.7351,2714406,VTI.US
2024-03-26,258.8,258.83,257.28,257.46,253.2826,2591495,VTI.US
2024-03-27,259.13,259.85,258.01,259.73,255.5158,4030246,VTI.US
2024-03-28,259.8,260.58,259.76,259.9,255.683,2669112,VTI.US
2024-04-01,260.32,260.38,258.6799,259.7,255.4863,3292260,VTI.US
2024-04-02,257.5,257.5,256.19,257.3,253.1252,3213359,VTI.US
2024-04-03,256.73,258.44,256.6575,257.7,253.5187,3241579,VTI.US
2024-04-04,259.65,259.9858,254.44,254.61,250.4789,3121253,VTI.US
2024-04-05,255.11,258.2,255.0,257.18,253.0072,4178477,VTI.US
2024-04-08,257.8,258.14,257.1,257.48,253.3023,3223782,VTI.US
2024-04-09,258.35,258.5,255.4,257.85,253.6663,2944127,VTI.US
2024-04-10,254.72,256.04,253.92,254.97,250.833,3348888,VTI.US
2024-04-11,255.75,257.43,253.88,256.7,252.5349,3434244,VTI.US
2024-04-12,255.27,255.6371,252.16,253.0,248.895,3574390,VTI.US
2024-04-15,255.0,255.205,249.26,249.89,245.8354,4804258,VTI.US
2024-04-16,249.89,250.65,248.47,249.14,245.0976,3466819,VTI.US
2024-04-17,250.44,250.93,246.98,247.68,243.6613,2861393,VTI.US
2024-04-18,248.32,249.5316,246.65,247.17,243.1596,2991692,VTI.US
2024-04-19,247.07,247.69,244.57,245.23,241.251,3469003,VTI.US
2024-04-22,246.59,248.88,245.38,247.64,243.6219,3111954,VTI.US
2024-04-23,248.57,250.95,248.272,250.59,246.5241,2399022,VTI.US
2024-04-24,251.21,251.51,249.3,250.65,246.5831,2285857,VTI.US
2024-04-25,247.31,249.8853,246.4332,249.46,245.4124,2473299,VTI.US
